sentence,start,end
Weigh agarose,11.0,53.0
Add agarose,60.0,65.0
Pour water,72.0,82.0
Stir the solution,83.0,102.0
Put the beaker in the microwave,109.0,120.0
Remove the beaker from the microwave,131.0,140.0
Pour water and stir,154.0,177.0
Pour the solution into the gel maker stand,182.0,208.0
Set the comb,224.0,234.0
