sentence,start,end
Add Sterile distilled water,28.0,46.0
Add Primer1,57.0,88.0
Add Primer2,93.0,120.0
Add Template,126.0,155.0
Add PrimeSTAR Max Premix,169.0,210.0
Set in DNA engine,230.0,234.0
